,Temps de jeu,Nombre de joueurs,En équipe ?,"Support particulier
supplémentaire",Type de jeu,"Tout le monde 
peut jouer ?"
1 contre 100,45 min,2 à 6,,Crayons,Culture générale ,
2 minutes ensemble,10 - 20 min,2 à 10,NON,∅,Communication,OUI
2 pommes 3 pains,15 min,2 à 6,,∅,"Observation, calculs",Calculs
3 trucs pour survivre,15 min,4 à 8,NON,∅,"Réflexion,
divertissement",OUI
"365 questions de culture
générale ",30 min,2 à 8,AU CHOIX,∅,Culture générale,OUI
5 secondes,20 min,2 à 4,NON,∅,"Connaissances,
Rapidité",OUI
"500 questions de culture
générale",30 min,2 à 10,AU CHOIX,∅,Culture générale,OUI
"A l'origine des
expressions françaises",20 - 40 min,2 à 8,AU CHOIX,∅,"Culture générale,
déduction",OUI
Apéro cocorico,20 min,2 à 8,AU CHOIX,∅,Culture générale,OUI
"Apéro-cartes spécial jeux
de mots",30 min,2 à 8,OUI,∅,Connaissances,OUI
Apéro-cartes spécial mimes,30 min,2 à 8,OUI,∅,Mimes,OUI
Articule,15 min,2 à 10,AU CHOIX,∅,Divertissement,Lecture
Barricades,30 min,2 à 4,NON,∅,Stratégie,OUI
Cabanga,20 min,3 à 6,,"Feuille, crayon","Réflexion, stratégie",
Citadelles,45 min,2 à 7,NON,∅,Stratégie,Jeu de rôle
Code Names,20 - 30 min,4 à 8,OUI,∅,Réflexion,Réflexion
Code Names Disney,20 - 30 min,4 à 8,OUI,∅,"Réflexion,
culture précise","Réflexion,
culture précise"
Code Names duo,15 min,2,NON,∅,Réflexion,Réflexion
Color addict,10 min,2 à 8,NON,∅,"Observation,
rapidité",Rapidité
Color brain,30 min,2 à 20,AU CHOIX,∅,"Culture générale,
déduction",OUI
Comédies musicales,1h,4 à 16,,"Feuilles, crayons",Culture précise,Culture précise
Concept,45 min,4 à 12,OUI,∅,"Culture générale,
déduction",OUI
Cranium,30 min,4,OUI,∅,"Culture générale,
dessins, mimes,
déduction",OUI
Défifoo,30 min,4 à 18,OUI,"Feuilles, crayons",Divertissement,OUI
Dékal,15 min,2 à 6,,∅,Stratégie,
Dés dingues,10 - 15min,2 à 8,NON,∅,"Rapidité,
observation",OUI
Dobble Disney,15 min,2 à 8,NON,∅,Rapidité,Culture précise
Dominos,15 min,2 à 4,NON,∅,Réflexion,OUI
Esquissé,40 min,4 à 8,NON,∅,Dessin,OUI
Fairy ring,40 min,2 à 4,,∅,Stratégie,
Fiesta de los muertos,15 min,4 à 8,,∅,Culture générale,
Flip 7,20 min,3 à 12,,"Feuille, crayon",Hasard,
"Fort Boyard : la boite
à énigmes",30 min - 1h,2 à 12,AU CHOIX,∅,Réflexion,Réflexion
Friends devine la scène,10 min,2 à 6,NON,∅,Culture précise,Culture précise
Hitster,45 min,2 à 10,AU CHOIX,Application mobile,Culture musicale,OUI
I know,45 min,2 à 4,,∅,Culture générale,
